Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
4.42,95.905,NOAA19,8:27:26 AM,20160924,ASMC,ACEH,ACEH BARAT,PANTAI CEUREMEN,JAMBAK,
-0.445,114.945,NOAA19,6:51:08 AM,20161029,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,LAUNG TUHUP,KOHONG,
1.445,117.215,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN TIMUR,BERAU,KELAY,MERAPUN,
0.8,117.24,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN TIMUR,KUTAI TIMUR,SENGATTA,TEPIAN LANGSAT,
-0.25,114.425,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,TANAH SIANG,DIRUNG LINGKIN,
-0.34,114.67,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,TANAH SIANG,DIRUNG BAKUNG,
-0.33,112.975,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN BARAT,SINTANG,AMBALAU,BUNTUT SABON,
-0.315,114.665,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,TANAH SIANG,DIRUNG BAKUNG,
-0.26,114.645,NOAA19,6:35:54 AM,20160925,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,TANAH SIANG,TABULANG,
1.475,99.545,NOAA19,8:15:26 AM,20160925,ASMC,SUMATERA UTARA,PADANG LAWAS UTARA,PADANG BOLAK JULU,PARUPUK JULU,
2.785,97.91,NOAA19,8:15:26 AM,20160925,ASMC,ACEH,ACEH SINGKIL,SIMPANG KIRI,UPT -XV SUBULUSSALAM,
4.02,97.43,NOAA19,8:15:26 AM,20160925,ASMC,ACEH,GAYOLUES,PINDING,GAJAH,
4.02,97.13,NOAA19,8:15:26 AM,20160925,ASMC,ACEH,GAYOLUES,KUTA PANJANG,AKUL,
4.5,95.99,NOAA19,8:15:26 AM,20160925,ASMC,ACEH,ACEH BARAT,WOYLA,LUBOK PANYANG,
4.58,96.86,NOAA19,8:15:26 AM,20160925,ASMC,ACEH,ACEH TENGAH,BINTANG,DANAU/WADUK,
0.88,100.075,NOAA19,8:15:26 AM,20160925,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSA,TANJUNG BOTUNG,
